eventID,occurrenceID,measurementType,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementTypeID,measurementID
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-1,Abundance of cells per milliliter,19384,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-4-FC-4.3-1-1
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-1,Particulate Organic Carbon per cell,248.8,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-4-FC-4.3-1-2
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-1,Biomass as carbon per unit volume,4.8,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-4-FC-4.3-1-3
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-1,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-4-FC-4.3-1-4
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-1,NA,OraPicoProk,http://vocab.nerc.ac.uk/collection/F02/current/F0200003/,NA,NA,NA,IYS2022-TINRO-3-4-FC-4.3-1-5
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-2,Abundance of cells per milliliter,5644,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-4-FC-4.3-2-1
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-2,Particulate Organic Carbon per cell,1766.9,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-4-FC-4.3-2-2
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-2,Biomass as carbon per unit volume,10,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-4-FC-4.3-2-3
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-2,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-4-FC-4.3-2-4
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-2,NA,RedPico,http://vocab.nerc.ac.uk/collection/F02/current/F0200004/,NA,NA,NA,IYS2022-TINRO-3-4-FC-4.3-2-5
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-3,Abundance of cells per milliliter,259,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-4-FC-4.3-3-1
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-3,Particulate Organic Carbon per cell,17678.8,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-4-FC-4.3-3-2
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-3,Biomass as carbon per unit volume,4.6,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-4-FC-4.3-3-3
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-3,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-4-FC-4.3-3-4
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-3,NA,RedRedNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200005/,NA,NA,NA,IYS2022-TINRO-3-4-FC-4.3-3-5
